gutenberg_id	updated	repo_name	repo_owner	datebuilt	version	ebooks_in_release_count	last_build_id	last_build_state	buildable	has_metadata	has_source	metadata_written
138	2016-08-07T14:38:01.120436-07:00	George-Sand--Some-Aspects-of-Her-Life-and-Writings_138	GITenberg	2016-08-05T18:55:13.680754-07:00	0.1.0	3	150209174	passed	True	True	True	2016-08-04T09:00:49.796726-07:00
139	2016-08-07T14:38:04.323156-07:00	The-Lost-World_139	GITenberg	2016-08-05T18:55:19.893507-07:00	0.1.0	3	150209188	passed	True	True	True	2016-08-04T09:00:53.942526-07:00
140	2016-08-03T18:44:21.676723-07:00	The-Jungle_140	GITenberg	2016-07-27T21:22:55Z	0.2.1	3	147877121	passed	True	True	True	2016-08-03T18:44:21.676704-07:00
141	2016-08-03T18:44:21.676762-07:00	Mansfield-Park_141	GITenberg	2016-07-27T20:36:45Z	0.1.1	3	147865579	passed	True	True	True	2016-08-03T18:44:21.676742-07:00
142	2016-08-07T14:38:07.321914-07:00	The--30-000-Bequest-and-Other-Stories_142	GITenberg	2016-08-05T18:55:27.228811-07:00	0.1.0	3	150209190	passed	True	True	True	2016-08-04T09:00:56.296541-07:00
143	2016-08-07T14:38:09.971277-07:00	The-Mayor-of-Casterbridge_143	GITenberg	2016-08-05T18:55:34.630840-07:00	0.1.0	3	150209195	passed	True	True	True	2016-08-04T09:00:59.767766-07:00
144	2016-08-07T14:38:14.054802-07:00	The-Voyage-Out_144	GITenberg	2016-08-05T18:55:40.764190-07:00	0.1.0	3	150209207	passed	True	True	True	2016-08-04T09:01:05.636253-07:00
145	2016-08-03T18:44:21.676800-07:00	Middlemarch_145	GITenberg	2016-07-27T21:37:48Z	0.2.1	3	147879566	passed	True	True	True	2016-08-03T18:44:21.676781-07:00
146	2016-08-03T18:44:21.676839-07:00	A-Little-Princess--13-Being-the-whole-story-of-Sara-Crewe-now-told-for-the-first-time_146	GITenberg	2016-07-27T20:43:12Z	0.1.1	3	147865854	passed	True	True	True	2016-08-03T18:44:21.676819-07:00
147	2016-08-07T14:38:17.534962-07:00	Common-Sense_147	GITenberg	2016-08-05T18:55:46.607112-07:00	0.1.0	3	150209237	passed	True	True	True	2016-08-04T09:01:08.900001-07:00
